Name,Category,Phone,Email,Website,Address,Priority,Quality Score,Data Source,Search Term,Timestamp
"Shuaiba Industrial Company ( Jafza ) Dubai , United Arab Emirates.",مصنع,04 880 7301,Not available,https://www.sic-kwt.com/,"
X472+37W - Sheikh Zayed Road, 8.5 Interchange - جبل علي الصناعية الثانية - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:58:37.693Z
Dubai Packaging Industries,شركة التعبئة والتغليف,04 333 0444,Not available,Not available,"
منطقة رأس الخور الصناعية - منطقة رأس الخور الصناعية -٢ - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:58:49.346Z
Precision Plastic Products Company LLC,مصنع,04 310 5777,Not available,https://www.pdtmc.com/,"
Street # 7,Al Industrial Are 3,Opp Jotun Powder Coating - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:59:00.841Z
Tiger Steel Industries LLC,مصنع,04 267 1015,Not available,Not available,"
شارع مستشفى المكتوم - الرقة - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:59:12.097Z
Al Yarmook Vehicle Body Manufacturing LLC,شركة تصنيع مقطورات,058 291 9494,Not available,Not available,"
Danube Building Material - Yard No.59, Opp - منطقة رأس الخور الصناعية -٢ - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:59:23.305Z
Standard Packaging Materials Manufacturing Company,شركة التعبئة والتغليف,04 394 9180,Not available,http://www.stanpack.net/,"
Unnamed Road - مجمع دبي للإستثمار 2 - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:59:34.891Z
Arwani Trading Company L.L.C,مورد معدات صناعية,04 282 8223,leads@arwani.ae,http://www.arwani.ae/,"
Ground Floor Lootah Building Street, Airport Road - Metro Station - near to Al Garhoud - دبي",URGENT,10,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T21:59:50.741Z
FITCO INDUSTRIES (LONDON) LTD.,مصنع,04 222 1217,Not available,Not available,"
Grand Store Bldg - شارع المكتوم - ديرة - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:00:02.112Z
Asmaco wholesale and Supplier Dubai UAE,مصنع,054 276 9153,Not available,Not available,"
36 Za'abeel St - الكرامة - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:00:13.408Z
ENPI GROUP • Emirates National Factory for Plastic Industries,شركة تصنيع البلاستيك,04 395 5446,Not available,http://www.enpigroup.com/,"
Sheikh Mohammed Bin Zayed Road - إ311 - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:00:24.601Z
CMS Manufacturing Company LLC,متجر مستلزمات التعبئة,04 323 2433,Not available,http://www.cmsglobal.com/,"
Al Quoz Industrial Area 2, Plot No : 369-950 - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:00:35.983Z
Jebel Ali Cement Factory,مصنع,04 880 2696,Not available,https://www.jacement.com/,"
عود ميثاء - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:00:47.345Z
Domer Industrial Limited,شركة تصنيع البلاستيك,Contact via website,Not available,http://www.domer.co/,"
Suite 1702, Level 17, Boulevard Plaza Tower 1 Creative Zone Business Hub, Sheik - بوليفارد الشيخ محمد بن راشد - وسط مدينة دبي - دبي",MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:01:00.549Z
Trosten Industries Company LLC,مصنع,04 806 7666,Not available,https://www.trosten-industries.com/,"
Dubai Investment Park - 1 - دبي",HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-03T22:01:12.098Z
